tc_id,requirement_id,design_technique,precondition,steps,expected,source_quote,oracle_reason,gen_confidence
TC-007-003,게시글관리>수정>글수정,negative_deep,로그인 bob + alice의 글,1. alice의 글 상세 진입 | 2. '수정' 클릭 또는 javascript:go('edit'<id>) | 3. 저장 시도,수정 폼 진입 거절 또는 저장 시 권한 오류,manual.md §3.4 '자신이 작성한 글만 수정할 수 있다',§3.4 + 결함 샘플 F-2 (권한 우회) 매칭. BUG-2 후보.,0.80
TC-007-004,게시글관리>수정>글수정,boundary,자기 글,1. 수정 폼 진입 | 2. 제목 빈 채로 | 3. '저장' 클릭,거절 메시지 또는 입력 요구,INFERRED: 수정 시 빈 제목 검증 매뉴얼 명시 없음. §3.1 작성 시 검증 일관성 추정.,수정과 작성의 검증 일관성.,0.52
TC-007-005,게시글관리>수정>글수정,cross_feature,자기 글,1. 수정 완료 | 2. 목록 이동 | 3. 수정 반영 확인 | 4. 상세 진입 | 5. 본문 반영 확인,목록·상세 모두 수정 후 내용 노출,manual.md §3.4 + §3.2 + §3.3 결합,cross — 수정/목록/상세 일관성.,0.72
TC-008-001,게시글관리>삭제>글삭제,happy_path,로그인 alice + alice 글,1. 자기 글 상세 | 2. '삭제' 클릭 | 3. 확인 OK,글 목록에서 해당 글 사라짐,manual.md §3.5 '확인 후 글이 삭제된다',§3.5 직접 인용.,0.88
TC-008-002,게시글관리>삭제>글삭제,negative_basic,비로그인,1. 임의 글 상세 | 2. '삭제' 클릭,삭제 거절 또는 로그인 요구,manual.md §3.5 '자신이 작성한 글만 삭제할 수 있다',§3.5 권한 명시.,0.82
TC-008-003,게시글관리>삭제>글삭제,negative_deep,로그인 bob + alice의 글,1. alice의 글 상세 | 2. '삭제' 클릭,삭제 거절 + 권한 오류 메시지,manual.md §3.5 + 결함 샘플 F-2,F-2 매칭. BUG-2 후보.,0.80
TC-008-004,게시글관리>삭제>글삭제,cross_feature,자기 글 + 댓글 있음,1. 자기 글 삭제 | 2. 글 목록 확인 (없음) | 3. (가능하면) 댓글 DB 상태 확인,글 삭제 시 해당 댓글도 함께 사라짐,INFERRED: 매뉴얼에 cascade 명시 없음. 데이터 무결성 일반 관행.,cross — 글-댓글 cascade.,0.50
TC-009-001,댓글관리>작성>댓글작성,happy_path,로그인 + 임의 글,1. 상세 진입 | 2. 댓글 입력 | 3. '댓글 작성' 클릭,댓글이 댓글 영역에 표시,manual.md §4.1 '상세 화면에서 댓글 내용을 입력하고 ''댓글 작성''을 누른다',§4.1 직접 인용.,0.88
TC-009-002,댓글관리>작성>댓글작성,negative_basic,비로그인,1. 상세 진입 | 2. 댓글 입력 영역 확인,댓글 입력 영역 미노출 또는 로그인 요구,manual.md §4.1 '로그인한 사용자만 댓글을 작성할 수 있다',§4.1 권한 명시.,0.85
TC-009-003,댓글관리>작성>댓글작성,boundary,로그인,1. 빈 댓글 입력 | 2. '댓글 작성' 클릭,등록 거절 또는 무반응,INFERRED: 빈 댓글 처리 매뉴얼 명시 없음.,경계 — 빈 입력 처리.,0.55
TC-009-004,댓글관리>작성>댓글작성,cross_feature,로그인 + 댓글 작성,1. 댓글 작성 직후 상세 화면 댓글 영역 확인 | 2. 다른 사용자 로그인 후 같은 글 진입,모든 사용자에게 새 댓글 노출,manual.md §3.3 '댓글이 표시된다',cross — 작성/노출 일관성.,0.72
TC-010-001,댓글관리>삭제>댓글삭제,happy_path,로그인 + 댓글 1개+,1. 상세 진입 | 2. 각 댓글의 '삭제' 클릭,댓글이 화면에서 사라짐,manual.md §4.2 '각 댓글의 ''삭제'' 버튼을 눌러 댓글을 삭제할 수 있다',§4.2 직접 인용.,0.85
TC-010-002,댓글관리>삭제>댓글삭제,negative_basic,비로그인,1. 상세 진입 | 2. 댓글 '삭제' 클릭,삭제 거절 또는 UI 미노출,INFERRED: 매뉴얼은 권한 명시 안 함. 댓글 작성과 동일 일관성 추정.,INFERRED — 댓글 작성 권한과 동일하리란 추정.,0.48
